"UnionTerritories","Year","Quarter","District_Pincode","Registered_User"
"andaman-&-nicobar-islands","2021","3","744112","2250"
"andaman-&-nicobar-islands","2021","3","744211","2055"
"andaman-&-nicobar-islands","2021","3","744205","1771"
"andaman-&-nicobar-islands","2021","4","744103","14127"
"andaman-&-nicobar-islands","2021","4","744105","12300"
"andaman-&-nicobar-islands","2021","4","744101","11623"
"andaman-&-nicobar-islands","2021","4","744102","7813"
"andaman-&-nicobar-islands","2021","4","744202","3815"
"andaman-&-nicobar-islands","2021","4","744107","3247"
"andaman-&-nicobar-islands","2021","4","744104","2962"
"andaman-&-nicobar-islands","2021","4","744112","2411"
"andaman-&-nicobar-islands","2021","4","744211","2200"
"andaman-&-nicobar-islands","2021","4","744205","1902"
"andaman-&-nicobar-islands","2022","1","744103","15011"
"andaman-&-nicobar-islands","2022","1","744105","13070"
"andaman-&-nicobar-islands","2022","1","744101","12300"
"andaman-&-nicobar-islands","2022","1","744102","8271"
"andaman-&-nicobar-islands","2022","1","744202","4107"
"andaman-&-nicobar-islands","2022","1","744107","3455"
"andaman-&-nicobar-islands","2022","1","744104","3146"
"andaman-&-nicobar-islands","2022","1","744112","2552"
"andaman-&-nicobar-islands","2022","1","744211","2344"
"andaman-&-nicobar-islands","2022","1","744205","2034"
"andaman-&-nicobar-islands","2022","2","744103","15799"
"andaman-&-nicobar-islands","2022","2","744105","13791"
"andaman-&-nicobar-islands","2022","2","744101","12947"
"andaman-&-nicobar-islands","2022","2","744102","8709"
"andaman-&-nicobar-islands","2022","2","744202","4361"
"andaman-&-nicobar-islands","2022","2","744107","3674"
"andaman-&-nicobar-islands","2022","2","744104","3319"
"andaman-&-nicobar-islands","2022","2","744112","2700"
"andaman-&-nicobar-islands","2022","2","744211","2471"
"andaman-&-nicobar-islands","2022","2","744205","2162"
"andaman-&-nicobar-islands","2022","3","744103","16666"
"andaman-&-nicobar-islands","2022","3","744105","14503"
"andaman-&-nicobar-islands","2022","3","744101","13649"
"andaman-&-nicobar-islands","2022","3","744102","9148"
"andaman-&-nicobar-islands","2022","3","744202","4572"
"andaman-&-nicobar-islands","2022","3","744107","3868"
"andaman-&-nicobar-islands","2022","3","744104","3493"
"andaman-&-nicobar-islands","2022","3","744112","2837"
"andaman-&-nicobar-islands","2022","3","744211","2577"
"andaman-&-nicobar-islands","2022","3","744205","2268"
"andaman-&-nicobar-islands","2022","4","744103","17406"
"andaman-&-nicobar-islands","2022","4","744105","15185"
"andaman-&-nicobar-islands","2022","4","744101","14337"
"andaman-&-nicobar-islands","2022","4","744102","9591"
"andaman-&-nicobar-islands","2022","4","744202","4760"
"andaman-&-nicobar-islands","2022","4","744107","4051"
"andaman-&-nicobar-islands","2022","4","744104","3647"
"andaman-&-nicobar-islands","2022","4","744112","2975"
"andaman-&-nicobar-islands","2022","4","744211","2679"
"andaman-&-nicobar-islands","2022","4","744205","2358"
"chandigarh","2018","1","160101","11805"
"chandigarh","2018","1","160002","10228"
"chandigarh","2018","1","160036","9118"
"chandigarh","2018","1","160047","8701"
"chandigarh","2018","1","160022","7205"
"chandigarh","2018","1","160014","5082"
"chandigarh","2018","1","160015","3791"
"chandigarh","2018","1","160030","3568"
"chandigarh","2018","1","160019","3384"
"chandigarh","2018","1","160020","3161"
"chandigarh","2018","2","160101","15846"
"chandigarh","2018","2","160002","13532"
"chandigarh","2018","2","160036","12172"
"chandigarh","2018","2","160047","11636"
"chandigarh","2018","2","160022","9558"
"chandigarh","2018","2","160014","7019"
"chandigarh","2018","2","160015","4883"
"chandigarh","2018","2","160030","4840"
"chandigarh","2018","2","160019","4407"
"chandigarh","2018","2","160020","4165"
"chandigarh","2018","3","160101","19810"
"chandigarh","2018","3","160002","16929"
"chandigarh","2018","3","160036","15103"
"chandigarh","2018","3","160047","14492"
"chandigarh","2018","3","160022","11963"
"chandigarh","2018","3","160014","8884"
"chandigarh","2018","3","160015","6087"
"chandigarh","2018","3","160030","5895"
"chandigarh","2018","3","160019","5610"
"chandigarh","2018","3","160020","5211"
"chandigarh","2018","4","160101","24670"
"chandigarh","2018","4","160002","21350"
"chandigarh","2018","4","160036","18721"
"chandigarh","2018","4","160047","17732"
"chandigarh","2018","4","160022","14640"
"chandigarh","2018","4","160014","11285"
"chandigarh","2018","4","160015","7435"
"chandigarh","2018","4","160030","7194"
"chandigarh","2018","4","160019","6759"
"chandigarh","2018","4","160020","6374"
"chandigarh","2019","1","160101","29177"
"chandigarh","2019","1","160002","25286"
"chandigarh","2019","1","160036","22093"
"chandigarh","2019","1","160047","20696"
"chandigarh","2019","1","160022","17171"
"chandigarh","2019","1","160014","13548"
"chandigarh","2019","1","160015","8582"
"chandigarh","2019","1","160030","8239"
"chandigarh","2019","1","160019","7885"
"chandigarh","2019","1","160020","7361"
"chandigarh","2019","2","160101","33226"
"chandigarh","2019","2","160002","28840"
"chandigarh","2019","2","160036","25318"
"chandigarh","2019","2","160047","23915"
"chandigarh","2019","2","160022","19707"
"chandigarh","2019","2","160014","15583"
"chandigarh","2019","2","160015","9647"
"chandigarh","2019","2","160030","9337"
"chandigarh","2019","2","160011","8964"
"chandigarh","2019","2","160019","8898"
"chandigarh","2019","3","160101","36777"
"chandigarh","2019","3","160002","31994"
"chandigarh","2019","3","160036","28167"
"chandigarh","2019","3","160047","26498"
"chandigarh","2019","3","160022","21892"
"chandigarh","2019","3","160014","17435"
"chandigarh","2019","3","160011","10735"
"chandigarh","2019","3","160015","10628"
"chandigarh","2019","3","160030","10239"
"chandigarh","2019","3","160019","9821"
"chandigarh","2019","4","160101","39986"
"chandigarh","2019","4","160002","34899"
"chandigarh","2019","4","160036","30449"
"chandigarh","2019","4","160047","28715"
"chandigarh","2019","4","160022","23574"
"chandigarh","2019","4","160014","19040"
"chandigarh","2019","4","160011","11692"
"chandigarh","2019","4","160015","11476"
"chandigarh","2019","4","160030","10959"
"chandigarh","2019","4","160019","10540"
"chandigarh","2020","1","160101","43456"
"chandigarh","2020","1","160002","37722"
"chandigarh","2020","1","160036","33042"
"chandigarh","2020","1","160047","31101"
"chandigarh","2020","1","160022","25119"
"chandigarh","2020","1","160014","21073"
"chandigarh","2020","1","160011","12511"
"chandigarh","2020","1","160015","12196"
"chandigarh","2020","1","160030","11732"
"chandigarh","2020","1","160019","11241"
"chandigarh","2020","2","160101","47100"
"chandigarh","2020","2","160002","40795"
"chandigarh","2020","2","160036","35489"
"chandigarh","2020","2","160047","33566"
"chandigarh","2020","2","160022","26409"
"chandigarh","2020","2","160014","23291"
"chandigarh","2020","2","160011","13058"
"chandigarh","2020","2","160015","12817"
"chandigarh","2020","2","160030","12456"
"chandigarh","2020","2","160019","11973"
"chandigarh","2020","3","160101","50901"
"chandigarh","2020","3","160002","44149"
"chandigarh","2020","3","160036","38339"
"chandigarh","2020","3","160047","36323"
"chandigarh","2020","3","160022","28178"
"chandigarh","2020","3","160014","25601"
"chandigarh","2020","3","160015","13598"
"chandigarh","2020","3","160011","13532"
"chandigarh","2020","3","160030","13346"
"chandigarh","2020","3","160019","12815"
"chandigarh","2020","4","160101","55221"
"chandigarh","2020","4","160002","47806"
"chandigarh","2020","4","160036","41473"
"chandigarh","2020","4","160047","39470"
"chandigarh","2020","4","160022","30329"
"chandigarh","2020","4","160014","27809"
"chandigarh","2020","4","160015","14608"
"chandigarh","2020","4","160030","14336"
"chandigarh","2020","4","160011","14092"
"chandigarh","2020","4","160019","13806"
"chandigarh","2021","1","160101","59366"
"chandigarh","2021","1","160002","51384"
"chandigarh","2021","1","160036","44518"
"chandigarh","2021","1","160047","42473"
"chandigarh","2021","1","160022","32441"
"chandigarh","2021","1","160014","29983"
"chandigarh","2021","1","160015","15642"
"chandigarh","2021","1","160030","15357"
"chandigarh","2021","1","160011","14949"
"chandigarh","2021","1","160019","14773"
"chandigarh","2021","2","160101","63492"
"chandigarh","2021","2","160002","54973"
"chandigarh","2021","2","160036","47535"
"chandigarh","2021","2","160047","45337"
"chandigarh","2021","2","160022","34573"
"chandigarh","2021","2","160014","32068"
"chandigarh","2021","2","160015","16673"
"chandigarh","2021","2","160030","16402"
"chandigarh","2021","2","160011","15925"
"chandigarh","2021","2","160019","15784"
"chandigarh","2021","3","160101","68033"
"chandigarh","2021","3","160002","58992"
"chandigarh","2021","3","160036","50920"
"chandigarh","2021","3","160047","48505"
"chandigarh","2021","3","160022","36978"
"chandigarh","2021","3","160014","34469"
"chandigarh","2021","3","160015","17785"
"chandigarh","2021","3","160030","17596"
"chandigarh","2021","3","160011","16987"
"chandigarh","2021","3","160019","16871"
"chandigarh","2021","4","160101","72637"
"chandigarh","2021","4","160002","62969"
"chandigarh","2021","4","160036","54223"
"chandigarh","2021","4","160047","51660"
"chandigarh","2021","4","160022","39282"
"chandigarh","2021","4","160014","36857"
"chandigarh","2021","4","160015","18899"
"chandigarh","2021","4","160030","18735"
"chandigarh","2021","4","160011","18061"
"chandigarh","2021","4","160019","17944"
"chandigarh","2022","1","160101","76960"
"chandigarh","2022","1","160002","66680"
"chandigarh","2022","1","160036","57265"
"chandigarh","2022","1","160047","54598"
"chandigarh","2022","1","160022","41445"
"chandigarh","2022","1","160014","39045"
"chandigarh","2022","1","160015","19940"
"chandigarh","2022","1","160030","19799"
"chandigarh","2022","1","160011","19085"
"chandigarh","2022","1","160019","18943"
"chandigarh","2022","2","160101","81030"
"chandigarh","2022","2","160002","70202"
"chandigarh","2022","2","160036","60207"
"chandigarh","2022","2","160047","57439"
"chandigarh","2022","2","160022","43479"
"chandigarh","2022","2","160014","41121"
"chandigarh","2022","2","160015","20944"
"chandigarh","2022","2","160030","20822"
"chandigarh","2022","2","160011","20043"
"chandigarh","2022","2","160019","19907"
"chandigarh","2022","3","160101","85368"
"chandigarh","2022","3","160002","73870"
"chandigarh","2022","3","160036","63231"
"chandigarh","2022","3","160047","60295"
"chandigarh","2022","3","160022","45609"
"chandigarh","2022","3","160014","43314"
"chandigarh","2022","3","160015","21953"
"chandigarh","2022","3","160030","21889"
"chandigarh","2022","3","160011","21003"
"chandigarh","2022","3","160019","20886"
"chandigarh","2022","4","160101","89650"
"chandigarh","2022","4","160002","77592"
"chandigarh","2022","4","160036","66174"
"chandigarh","2022","4","160047","63191"
"chandigarh","2022","4","160022","47654"
"chandigarh","2022","4","160014","45488"
"chandigarh","2022","4","160015","22959"
"chandigarh","2022","4","160030","22922"
"chandigarh","2022","4","160011","22005"
"chandigarh","2022","4","160019","21875"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","396230","26888"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","396210","12153"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","396215","6390"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","396235","5140"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","362520","1330"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","362571","767"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","362540","365"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","396220","134"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","362570","91"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","396230","36053"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","396210","16275"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","396215","8687"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","396235","7032"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","362520","1728"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","362571","930"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","362540","463"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","396220","182"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","362570","108"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","396230","46381"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","396210","20999"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","396215","11408"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","396235","9245"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","362520","2056"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","362571","1076"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","362540","573"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","396220","244"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","362570","125"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","396230","58055"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","396210","27039"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","396215","14722"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","396235","11778"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","362520","2456"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","362571","1336"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","362540","686"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","396220","308"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","362570","131"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","396230","69568"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","396210","32703"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","396215","18018"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","396235","14419"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","362520","2879"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","362571","1582"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","362540","842"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","396220","372"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","362570","149"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","396230","78132"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","396210","37160"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","396215","20428"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","396235","16250"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","362520","3291"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","362571","1785"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","362540","947"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","396220","417"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","362570","170"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","396230","87039"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","396210","41395"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","396215","22996"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","396235","18290"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","362520","3618"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","362571","1908"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","362540","1044"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","396220","463"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","3","362570","176"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","396230","97116"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","396210","46041"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","396215","25932"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","396235","20689"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","362520","3953"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","362571","2041"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","362540","1138"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","396220","497"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","4","362570","191"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","396230","107112"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","396210","50829"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","396215","28959"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","396235","23143"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","362520","4269"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","362571","2223"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","362540","1217"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","396220","541"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","1","362570","203"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","396230","119858"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","396210","56796"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","396215","32569"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","396235","26145"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","362520","4635"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","362571","2541"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","362540","1398"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","396220","651"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","2","362570","221"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","396230","131460"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","396210","61967"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","396215","35428"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","396235","28723"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","362520","5010"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","362571","2821"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","362540","1581"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","396220","713"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","3","362570","243"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","396230","145541"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","396210","68594"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","396215","39109"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","396235","31891"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","362520","5447"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","362571","3079"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","362540","1750"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","396220","808"
"dadra-&-nagar-haveli-&-daman-&-diu","2020","4","362570","274"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","396230","157679"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","396210","74340"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","396215","42510"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","396235","34583"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","362520","5885"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","362571","3337"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","362540","1890"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","396220","878"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","1","362570","294"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","396230","169433"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","396210","79673"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","396215","45646"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","396235","37083"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","362520","6307"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","362571","3577"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","362540","2027"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","396220","939"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","2","362570","309"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","396230","182708"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","396210","85704"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","396215","49261"
"dadra-&-nagar-haveli-&-daman-&-diu","2021","3","396235","40023"
